iteration,bias_before_kg_m2,loss,gradient,gauss_newton_curvature,raw_update_kg_m2,applied_update_kg_m2,soil_water_layer_1,soil_water_layer_2,soil_temperature_layer_1
0,5.0,0.009902315479361474,0.003205835148649489,0.000518945041984697,-2.1105669132443747,-2.1105669132443747,25.49258986321912,77.11555610434236,281.90378836754644
1,2.8894330867556253,0.0038733552884658417,0.0024009482189464087,0.0007441296382202072,-1.3765881654281447,-1.3765881654281447,25.341352065782456,76.68392843719234,281.9046807075939
2,1.5128449213274806,0.0011693293785890796,0.0014649249875990289,0.0009176227238001705,-0.7639276325929084,-0.7639276325929084,25.22741384775419,76.35947164583867,281.9054431798823
3,0.7489172887345722,0.0003024456615887409,0.0007858812318812714,0.0010210267237618655,-0.3888524692134999,-0.3888524692134999,25.159204200763646,76.16493374458992,281.90592366613464
4,0.3600648195210723,7.20536824736687e-05,0.00039386842026470137,0.0010765158118197663,-0.18967754448232813,-0.18967754448232813,25.12309945366294,76.06182895751323,281.90617468215453
