step,day,field,title,unit,domain,n_columns,rmse,relative_rmse_percent,mean_abs_error,max_abs_error,max_index,max_lat,max_lon,max_torch,max_fortran,torch_swe_at_max,fortran_swe_at_max,torch_snow_fraction_at_max,fortran_snow_fraction_at_max
8,1.0,avg_skin_t,Surface temperature,K,all_columns,97709,7.0316550296946544e-06,2.6970999879026708e-06,5.783486184213847e-06,1.5258360633652046e-05,59829,39.04999923706055,80.35000610351562,260.54402160687374,260.5440368652344,0.0,0.0,0.0,0.0
8,1.0,soil_t_l1,"Soil temperature, layer 1",K,all_columns,97709,7.349179819983813e-06,2.8029125229686264e-06,6.079070011244951e-06,1.5258570385867642e-05,82312,44.150001525878906,87.55000305175781,259.05564880349226,259.0556335449219,0.0,0.0,0.0,0.0
8,1.0,soil_t_l2,"Soil temperature, layer 2",K,all_columns,97709,7.566143003977633e-06,2.87653755440924e-06,6.288425161944151e-06,1.5258518260452547e-05,17281,29.049999237060547,108.25,277.1367950442161,277.1368103027344,0.0,0.0,0.0,0.0
8,1.0,soil_t_l3,"Soil temperature, layer 3",K,all_columns,97709,7.541736889211868e-06,2.8708884143266667e-06,6.271822040810969e-06,1.5258663722761412e-05,21895,30.25,97.6500015258789,257.6414947511019,257.6415100097656,0.37293501773551657,0.372935026884079,0.03729350177355166,0.0372935026884079
8,1.0,soil_t_l4,"Soil temperature, layer 4",K,all_columns,97709,7.2998995547792585e-06,2.782053620016953e-06,6.006964337807629e-06,1.5258613530022558e-05,115,18.950000762939453,108.85000610351562,285.00288391130834,285.0028991699219,0.0,0.0,0.0,0.0
8,1.0,soil_w_l1,"Soil water, layer 1",kg m-2,all_columns,97709,5.501396118970031e-07,1.9031313268083387e-06,4.7631229778177655e-07,9.536708382995585e-07,94372,49.04999923706055,125.25,29.99838352203717,29.998384475708008,0.6867162900398616,0.6867163181304932,0.06373777759656861,0.06373777954100784
8,1.0,soil_w_l2,"Soil water, layer 2",kg m-2,all_columns,97709,2.1970539911164308e-06,2.7496775994853603e-06,1.8976951542077624e-06,3.8146794878457513e-06,96539,51.349998474121094,125.95000457763672,79.99991226198067,79.99991607666016,0.037131052967531344,0.03713105246424675,0.003713105296753134,0.003713105246424675
8,1.0,soil_w_l3,"Soil water, layer 3",kg m-2,all_columns,97709,4.390914984960051e-06,2.426135544551792e-06,3.7920157647315814e-06,7.629357668292869e-06,3370,23.549999237060547,120.65000915527344,183.65555572513452,183.6555633544922,0.0,0.0,0.0,0.0
8,1.0,soil_w_l4,"Soil water, layer 4",kg m-2,all_columns,97709,8.760556707090094e-06,2.9200333394431337e-06,7.5938524969956295e-06,1.5258781218108197e-05,18593,29.450000762939453,85.25,299.99995422364066,299.9999694824219,0.0,0.0,0.0,0.0
8,1.0,snow_w,Snow water equivalent,kg m-2,all_columns,97709,9.599557068926376e-09,2.1311924605416253e-06,1.1099299874179084e-09,1.0575462212614184e-06,15282,28.549999237060547,95.45000457763672,40.05295668498763,40.052955627441406,40.05295668498763,40.052955627441406,1.0,1.0
8,1.0,snow_w,Snow water equivalent,kg m-2,snow_present,18763,2.1906214698913232e-08,2.1311924605416253e-06,5.780000487150035e-09,1.0575462212614184e-06,15282,28.549999237060547,95.45000457763672,40.05295668498763,40.052955627441406,40.05295668498763,40.052955627441406,1.0,1.0
8,1.0,snow_w,Snow water equivalent,kg m-2,snow_fraction_gt_1e-3,18165,2.226385685973751e-08,2.1311918901886516e-06,5.966283991698001e-09,1.0575462212614184e-06,15282,28.549999237060547,95.45000457763672,40.05295668498763,40.052955627441406,40.05295668498763,40.052955627441406,1.0,1.0
8,1.0,snow_t,Snow temperature,K,all_columns,97709,3.859181089135483e-06,1.446061905149044e-06,3.7190146004962943e-06,1.5186438247383194e-05,26847,31.450000762939453,87.55000305175781,262.3857878915164,262.3857727050781,0.07081980657475796,0.07081981003284454,0.005386303633770678,0.005386303768706139
